sampleTimeStamp.seconds;sampleTimeStamp.microseconds;cell_0;cell_1;cell_2;cell_3;cell_4;cell_5
0;0;0.5166666666666667;0.0;0.0;0.0;0.0;0.0
0;4000;0.6166666666666667;0.0;0.0;0.0;0.0;0.0
0;8000;0.7666666666666667;0.0;0.0;0.0;0.0;0.0
0;12000;0.8333333333333334;0.0;0.0;0.0;0.0;0.0
0;16000;0.6666666666666666;0.0;0.0;0.0;0.0;0.0
0;20000;0.7333333333333333;0.0;0.0;0.0;0.0;0.0
0;24000;0.5833333333333334;0.0;0.0;0.0;0.0;0.0
0;28000;0.8;0.0;0.0;0.0;0.0;0.0
0;32000;1.0166666666666666;0.23333333333333334;0.0;0.0;0.0;0.0
0;36000;1.0166666666666666;0.3;0.0;0.0;0.0;0.0
0;40000;1.05;0.38333333333333336;0.0;0.0;0.0;0.0
0;44000;0.9166666666666666;0.31666666666666665;0.0;0.0;0.0;0.0
0;48000;0.8333333333333334;0.3;0.0;0.0;0.0;0.0
0;52000;0.8333333333333334;0.36666666666666664;0.0;0.0;0.0;0.0
0;56000;0.85;0.43333333333333335;0.0;0.0;0.0;0.0
0;60000;0.95;0.6166666666666667;0.0;0.0;0.0;0.0
0;64000;0.9833333333333333;0.7;0.0;0.0;0.0;0.0
0;68000;0.9833333333333333;0.7666666666666667;0.0;0.0;0.0;0.0
0;72000;0.7333333333333333;0.5833333333333334;0.0;0.0;0.0;0.0
0;76000;0.6166666666666667;0.55;0.0;0.0;0.0;0.0
0;80000;0.8166666666666667;0.8;0.0;0.0;0.0;0.0
0;84000;0.8166666666666667;0.8166666666666667;0.0;0.0;0.0;0.0
0;88000;0.8833333333333333;0.9833333333333333;0.11666666666666667;0.0;0.0;0.0
0;92000;0.8166666666666667;1.0166666666666666;0.21666666666666667;0.0;0.0;0.0
0;96000;0.75;0.8833333333333333;0.13333333333333333;0.0;0.0;0.0
0;100000;0.6833333333333333;0.8833333333333333;0.2;0.0;0.0;0.0
0;104000;0.6166666666666667;0.8;0.2;0.0;0.0;0.0
0;108000;0.5333333333333333;0.8666666666666667;0.31666666666666665;0.0;0.0;0.0
0;112000;0.48333333333333334;0.9666666666666667;0.48333333333333334;0.0;0.0;0.0
0;116000;0.4166666666666667;0.9666666666666667;0.55;0.0;0.0;0.0
0;120000;0.35;0.9666666666666667;0.6166666666666667;0.0;0.0;0.0
0;124000;0.2833333333333333;0.7333333333333333;0.45;0.0;0.0;0.0
0;128000;0.21666666666666667;0.6666666666666666;0.45;0.0;0.0;0.0
0;132000;0.15;0.6666666666666666;0.5166666666666667;0.0;0.0;0.0
0;136000;0.06666666666666667;0.8;0.75;0.0;0.0;0.0
0;140000;0.016666666666666666;0.9833333333333333;0.9666666666666667;0.0;0.0;0.0
0;144000;0.0;0.9333333333333333;0.9833333333333333;0.0;0.0;0.0
0;148000;0.0;0.8666666666666667;0.9833333333333333;0.0;0.0;0.0
0;152000;0.0;0.8;0.8333333333333334;0.0;0.0;0.0
0;156000;0.0;0.7333333333333333;0.7666666666666667;0.0;0.0;0.0
0;160000;0.0;0.6666666666666666;0.8166666666666667;0.0;0.0;0.0
0;164000;0.0;0.6;0.8333333333333334;0.0;0.0;0.0
0;168000;0.0;0.5333333333333333;0.9333333333333333;0.0;0.0;0.0
0;172000;0.0;0.48333333333333334;0.9666666666666667;0.0;0.0;0.0
0;176000;0.0;0.4;0.7166666666666667;0.0;0.0;0.0
0;180000;0.0;0.3333333333333333;0.7166666666666667;0.0;0.0;0.0
0;184000;0.0;0.26666666666666666;0.6833333333333333;0.0;0.0;0.0
0;188000;0.0;0.21666666666666667;0.8166666666666667;0.0;0.0;0.0
0;192000;0.0;0.15;0.95;0.15;0.0;0.0
0;196000;0.0;0.08333333333333333;0.9666666666666667;0.21666666666666667;0.0;0.0
0;200000;0.0;0.016666666666666666;0.9834722222222222;0.2833333333333333;0.0;0.0
0;204000;0.0;0.0;0.8;0.18333333333333332;0.0;0.0
0;208000;0.0;0.0;0.7166666666666667;0.18333333333333332;0.0;0.0
0;212000;0.0;0.0;0.7166666666666667;0.25;0.0;0.0
0;216000;0.0;0.0;0.7333333333333333;0.4166666666666667;0.0;0.0
0;220000;0.0;0.0;0.6833333333333333;0.6;0.0;0.0
0;224000;0.0;0.0;0.6166666666666667;0.6666666666666666;0.0;0.0
0;228000;0.0;0.0;0.55;0.7333333333333333;0.0;0.0
0;232000;0.0;0.0;0.4666666666666667;0.6166666666666667;0.0;0.0
0;236000;0.0;0.0;0.4;0.65;0.0;0.0
